case,grid_id,target_month,true_label,predicted_label,degradation_probability,raw_peak,raw_mean,global_raw_scale,weighted_peak
True Positive,grid_414080_9418880,2024_09,1,1,0.8539127111434937,0.037948399782180786,0.0029653599485754967,0.024035008624196053,0.8539127111434937
True Negative,grid_379520_9440640,2024_05,0,0,0.0064882696606218815,0.008204693906009197,0.000369966117432341,0.024035008624196053,0.0022148636635392904
False Positive,grid_357760_9464960,2024_08,0,1,0.574364960193634,0.026156552135944366,0.0013316806871443987,0.024035008624196053,0.574364960193634
False Negative,grid_415360_9422720,2024_08,1,0,0.24744145572185516,0.048677243292331696,0.003735867328941822,0.024035008624196053,0.24744145572185516
