evaluation,n,healthy,degradation,accuracy,balanced_accuracy,precision_healthy,recall_healthy,f1_healthy,precision_degradation,recall_degradation,f1_degradation,specificity,macro_f1,weighted_f1,mcc,pr_auc,roc_auc
natural_test_primary,3659,3581,78,0.9961738179830555,0.9541508245082666,0.9980452387601229,0.9980452387601229,0.9980452387601229,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.9980452387601229,0.9541508245082666,0.9961738179830555,0.9083016490165331,0.9654681464763304,0.9984211543831762
balanced_diagnostic_secondary,156,78,78,0.9551282051282052,0.9551282051282051,0.9176470588235294,1.0,0.9570552147239264,1.0,0.9102564102564102,0.9530201342281879,1.0,0.9550376744760571,0.9550376744760573,0.9139442639718567,0.9993746091307065,0.9993425378040762
